"component_id","layer","component_name","dc","ipc","lic","ic","sc","fc1","fc2","fc","ooi","i2cf","i2mf","odc","occ","ec","rc","coc","inc","avc"
"3","Layer 1","AIS Interface","0.66","0.01","0.99","0.55","0.75","0.5","0.25","0.75","0.0543177","0.0543177","0.0543177","0.0606061","0.53","0.5","0.75","0.01","1.0","0.56"
"24","Layer 2","Autonomous Decision-Making Engine","0.66","0.66","0.66","0.66","1.0","0.75","0.5","1.0","0.596618","0.596618","0.596618","0.0606061","0.88","0.5","0.75","0.56","0.56","0.56"
"33","Layer 3","Autonomous Navigation Decision Module","0.66","0.66","0.99","0.77","1.0","0.75","0.5","1.0","1.0","1.0","1.0","0.030303","1.0","0.75","0.75","0.56","1.0","0.56"
"34","Layer 3","Collision Avoidance System","0.66","0.66","0.99","0.77","1.0","0.75","0.5","1.0","0.553329","0.553329","0.553329","0.0606061","0.89","0.75","0.75","0.22","1.0","1.0"
"12","Layer 1","Controllable Pitch Propeller","0.01","0.01","0.01","0.01","1.0","0.75","0.25","1.0","0.190096","0.190096","0.190096","0.0","0.55","0.75","0.75","0.01","1.0","0.56"
"32","Layer 3","Data Integration and Analysis Module","0.99","0.66","0.99","0.88","0.75","0.5","0.5","1.0","0.891881","0.891881","0.891881","0.030303","0.88","0.5","0.75","0.56","1.0","0.56"
"21","Layer 1","Echo Sounder","0.33","0.01","0.33","0.22","0.5","0.25","0.01","0.26","0.01","0.01","0.01","0.03","0.25","0.25","0.25","0.01","0.56","0.22"
"14","Layer 1","Electric / Hybrid Propulsion System","0.33","0.33","0.01","0.22","1.0","0.75","0.5","1.0","0.190096","0.190096","0.190096","0.0","0.67","0.75","0.75","0.22","1.0","1.0"
"4","Layer 1","ENC Data Service","0.66","0.01","0.66","0.44","0.5","0.5","0.25","0.75","0.00247143","0.00247143","0.00247143","0.030303","0.42","0.5","0.5","0.22","1.0","0.22"
"16","Layer 1","Engine Control Mechanism","0.33","0.33","0.01","0.22","1.0","0.75","0.5","1.0","0.387336","0.387336","0.387336","0.0606061","0.72","0.75","0.75","0.22","1.0","1.0"
"25","Layer 2","Feedback Control Module","0.33","0.33","0.01","0.22","0.75","0.5","0.25","0.75","0.0827703","0.0827703","0.0827703","0.030303","0.45","0.25","0.5","0.22","0.56","0.56"
"11","Layer 1","GMDSS","0.33","0.01","0.33","0.22","1.0","0.5","0.25","0.75","0.0038334","0.0038334","0.0038334","0.030303","0.49","0.5","0.75","0.22","0.56","1.0"
"2","Layer 1","GNSS / GPS Receiver","0.66","0.01","0.99","0.55","0.75","0.5","0.25","0.75","0.00247143","0.00247143","0.00247143","0.030303","0.51","0.5","0.75","0.56","1.0","0.56"
"22","Layer 1","Gyroscope Compass","0.01","0.01","0.01","0.01","0.5","0.25","0.01","0.26","0.0697048","0.0697048","0.0697048","0.0606061","0.21","0.25","0.25","0.01","0.56","0.56"
"23","Layer 1","Heading and Speed Sensor","0.01","0.01","0.01","0.01","0.5","0.25","0.01","0.26","0.0240051","0.0240051","0.0240051","0.030303","0.2","0.25","0.25","0.01","0.56","0.56"
"28","Layer 2","Human Override Control Interface","0.33","0.01","0.33","0.22","1.0","0.5","0.25","0.75","0.110376","0.110376","0.110376","0.030303","0.52","0.5","0.75","0.22","0.56","0.56"
"19","Layer 1","Infrared Camera System","0.33","0.01","0.33","0.22","0.5","0.25","0.01","0.26","0.0370572","0.0370572","0.0370572","0.030303","0.26","0.25","0.25","0.22","0.56","0.22"
"29","Layer 2","Internal Data Pipeline / Integration Module","0.66","0.33","0.66","0.55","0.75","0.5","0.25","0.75","0.089843","0.089843","0.089843","0.0606061","0.53","0.5","0.75","0.56","1.0","0.56"
"17","Layer 1","LiDAR","0.01","0.01","0.01","0.01","0.5","0.25","0.01","0.26","0.0370572","0.0370572","0.0370572","0.030303","0.2","0.25","0.25","0.01","0.56","0.22"
"27","Layer 2","Machine Learning and Adaptive Algorithm Module","0.66","0.66","0.33","0.55","0.75","0.5","0.5","1.0","0.489799","0.489799","0.489799","0.121212","0.7","0.5","0.75","0.56","0.56","0.56"
"6","Layer 1","Navigation Data Integration Tool","0.99","0.33","0.99","0.77","0.75","0.5","0.25","0.75","0.284204","0.284204","0.284204","0.030303","0.64","0.5","0.75","0.56","1.0","0.56"
"35","Layer 3","Navigation Support and Situational Awareness Module","0.66","0.33","0.99","0.66","0.75","0.5","0.5","1.0","0.288399","0.288399","0.288399","0.030303","0.67","0.5","0.75","0.56","1.0","0.56"
"5","Layer 1","RADAR / ARPA System","0.66","0.33","0.99","0.66","0.75","0.5","0.25","0.75","0.0543177","0.0543177","0.0543177","0.0606061","0.55","0.5","0.75","0.22","1.0","0.56"
"10","Layer 1","Remote Control Center Communication Interface","0.66","0.01","0.66","0.44","0.75","0.5","0.25","0.75","0.129389","0.129389","0.129389","0.030303","0.52","0.5","0.75","0.56","1.0","0.56"
"8","Layer 1","RF / VHF / UHF Communication Module","0.33","0.01","0.33","0.22","0.5","0.25","0.25","0.5","0.0","0.0","0.0","0.030303","0.41","0.25","0.5","0.22","0.56","0.56"
"13","Layer 1","Rudder Angle Indicator","0.01","0.01","0.01","0.01","0.5","0.25","0.01","0.26","0.00526446","0.00526446","0.00526446","0.030303","0.19","0.25","0.25","0.01","0.56","0.56"
"7","Layer 1","Satellite Communication System","0.66","0.01","0.66","0.44","0.75","0.5","0.25","0.75","0.0038334","0.0038334","0.0038334","0.030303","0.49","0.5","0.75","0.56","0.56","0.56"
"18","Layer 1","Sonar","0.33","0.01","0.33","0.22","0.5","0.25","0.01","0.26","0.0370572","0.0370572","0.0370572","0.030303","0.26","0.25","0.25","0.01","0.56","0.22"
"15","Layer 1","Steering Gear System","0.33","0.01","0.01","0.12","1.0","0.75","0.5","1.0","0.264926","0.264926","0.264926","0.0","0.66","0.75","0.75","0.22","1.0","1.0"
"30","Layer 2","Target Model","0.66","0.99","0.01","0.55","0.75","0.5","0.5","1.0","0.239913","0.239913","0.239913","0.030303","0.64","0.5","0.75","0.56","1.0","0.56"
"31","Layer 2","Training Data Asset","0.99","0.66","0.66","0.77","0.75","0.5","0.5","1.0","0.239913","0.239913","0.239913","0.030303","0.69","0.5","0.75","0.56","1.0","0.22"
"26","Layer 2","Vessel Traffic Services Decision Integration","0.33","0.01","0.66","0.33","0.5","0.25","0.25","0.5","0.110429","0.110429","0.110429","0.030303","0.36","0.25","0.5","0.22","0.56","0.22"
"9","Layer 1","Vessel Traffic Services Interface","0.33","0.01","0.66","0.33","0.5","0.25","0.01","0.26","0.06","0.06","0.06","0.03","0.29","0.25","0.5","0.22","0.56","0.22"
"20","Layer 1","Weather Transmission System","0.01","0.01","0.01","0.01","0.25","0.25","0.01","0.26","0.0370572","0.0370572","0.0370572","0.030303","0.14","0.25","0.25","0.01","0.56","0.22"
