mapping_record_id,consequence,operational,safety,information,financial,staging,environmental,reputation,confidentiality,integrity,availability
1,Account Access Removal,OOI,SC,,FC1,ODC,EC,RC,,,
2,Account Access Removal,OOI,SC,,FC1,ODC,EC,RC,,,
3,Application Exhaustion Flood,OOI,SC,,FC1,,,,,,AvC
4,Application or System Exploitation,OOI,SC,,FC1,,,,,,
5,Applications Binaries Modified,OOI,,IC,,OCC,,,,,
6,Authentication Bypass By Message Replay,,,,,OCC,,,,InC,
7,Bandwidth Hijacking,OOI,,,FC2,,,RC,,,AvC
8,Call Control,,,,FC2,,,RC,,,
9,Cloud Service Hijacking,OOI,,,FC1,,EC,RC,,,AvC
10,Code Overwritten to Avoid Detection,OOI,,IC,,OCC,,,,,
11,Collection,,,IC,,ODC,,,CoC,,
12,Collection,,,IC,,ODC,,,CoC,,
13,Collection,,,IC,,ODC,,,CoC,,
14,Collection,,,IC,,ODC,,,CoC,,
15,Command and Control,,,,,ODC,,,,,
16,Command and Control,,,,,ODC,,,,,
17,Command and Control,,,,,ODC,,,,,
18,Compute Hijacking,OOI,,,FC1,,EC,RC,,,AvC
19,Container Escape,,,,,ODC,,,,,
20,Cost Harvesting,OOI,,,FC2,,,,CoC,,
21,Credential Access,,,,,ODC,,,CoC,,
22,Credential Access,,,,,ODC,,,CoC,,
23,Credential Access,,,,,ODC,,,CoC,,
24,Credential Change Mechanism Can Be Abused,,,,,OCC,,,CoC,,
25,Critical System Service May Be Disabled,OOI,,,FC1,OCC,,RC,,InC,AvC
26,Cross Site Request Forgery (CSRF),,,,,OCC,,,,InC,
27,Cross Site Scripting (XSS),,,,,OCC,,,,,
28,Cryptographic Protocol Side Channel,,,IC,,OCC,,,CoC,,
29,Cryptographic Timing Side-Channel,,,,,OCC,,,CoC,,
30,Damage to Property,OOI,SC,IC,FC1,,EC,RC,,,
31,Data Bus Interception,,,IC,,,,,,,
32,Data Destruction,OOI,SC,IC,FC1,,EC,RC,,,
33,Data Destruction,OOI,SC,IC,FC1,,EC,RC,,,
34,Data Encrypted for Impact,OOI,SC,IC,FC1,ODC,EC,RC,,InC,
35,Data Encrypted for Impact,OOI,SC,IC,FC1,ODC,EC,RC,,InC,
36,Data Manipulation,OOI,SC,IC,FC1,,EC,RC,,InC,
37,Data Manipulation,OOI,SC,IC,FC1,,EC,RC,,InC,
38,Defacement,OOI,SC,IC,FC1,ODC,EC,RC,,InC,
39,Default Credentials,,,,,OCC,,,CoC,,
40,Defense Evasion,,,,,OCC,,,,InC,
41,Defense Evasion,,,,,OCC,,,,InC,
42,Defense Evasion,,,,,OCC,,,,InC,
43,Denial of Control,I2CF,SC,,,,EC,RC,,,AvC
44,Denial of ML Service,OOI,SC,,FC1,,EC,RC,,,AvC
45,Denial of View,,SC,,FC1,ODC,EC,RC,,,AvC
46,Device Allows Unauthenticated Firmware Installation,,,,,OCC,,,,InC,
47,Device Code Representations Inconsistent,OOI,,IC,,OCC,,,,,
48,Device Exploits Engineering Workstation,,,,,OCC,,,,,
49,Device leaks security information in logs,,,IC,,OCC,,RC,CoC,,
50,Device Vulnerabilities Unpatchable,,,,,OCC,,,,,
51,Direct Network Flood,OOI,SC,,FC1,,,,,,AvC
52,Discovery,,,,,ODC,,,CoC,,
53,Discovery,,,,,ODC,,,CoC,,
54,Discovery,,,,,ODC,,,CoC,,
55,Discovery,,,,,ODC,,,CoC,,
56,Disk Content Wipe,OOI,SC,IC,FC1,,,,,,AvC
57,Disk Structure Wipe,OOI,SC,IC,FC1,,,,,,AvC
58,Disk Wipe,OOI,SC,IC,FC1,,EC,RC,,,AvC
59,Electromagnetic Analysis Side Channel,,,IC,,OCC,,,CoC,,
60,Email Bombing,OOI,,,FC1,,,RC,,,
61,Endpoint Denial of Service,OOI,SC,,FC1,,EC,RC,,,AvC
62,Endpoint Denial of Service,OOI,SC,,FC1,,EC,RC,,,AvC
63,Erode Dataset Integrity,OOI,SC,IC,,,,RC,,InC,
64,Erode ML Model Integrity,OOI,SC,IC,FC1,,,RC,,InC,
65,Evade ML Model,,,,,ODC,,,,,
66,Evasion,,,,,OCC,,,,,
67,Excessive Access via Software Diagnostic Features,,,,,OCC,,,,,
68,Excessive Trust in Offboard Management/IDE Software,,,,,OCC,,,,,
69,Execution,OOI,,,FC1,ODC,EC,RC,,InC,
70,Execution,OOI,,,FC1,ODC,EC,RC,,InC,
71,Execution,OOI,,,FC1,ODC,EC,RC,,InC,
72,Execution,OOI,,,FC1,ODC,EC,RC,,InC,
73,Exfiltration,,,IC,,ODC,,,CoC,,
74,Exfiltration,,,IC,,ODC,,,CoC,,
75,Exfiltration,,,IC,,ODC,,,CoC,,
76,Existing OS Tools Maliciously Used for Device Manipulation,OOI,,IC,,,,,,InC,
77,Exploitable System Network Stack Component,,,,,ODC,,,,,
78,External Defacement,OOI,SC,IC,FC1,ODC,EC,RC,,InC,
79,External Harms,,SC,,FC1,,EC,RC,,,
80,Faulty FW/SW Update Integrity Verification,,,,,OCC,,,,,
81,Financial Harm,,,,FC1,,,RC,,,
82,Financial Theft,,,,FC1,,,RC,CoC,,
83,Firmware Corruption,OOI,SC,,FC1,,EC,RC,,InC,
84,Firmware Update Rollbacks Allowed,,,,,OCC,,,,InC,
85,Firmware/Data Extraction via Hardware Interface,,,IC,,OCC,,,,InC,
86,FW/SW Update Integrity Shared Secrets Extraction,,,IC,,OCC,,,,,
87,Generate Traffic from Victim,,,,FC2,,,RC,,,
88,Hardcoded Credentials,,,,,OCC,,,CoC,,
89,Hardware Fault Injection – Control Flow Modification,OOI,,IC,,,,,,InC,
90,Hardware Fault Injection – Data Manipulation,OOI,,IC,,,,,,InC,
91,Host Can Manipulate Guest Virtual Machines,,,,,ODC,,,,InC,
92,HTTP Application Session Hijacking,,,,,OCC,,,,,AvC
93,HTTP Direct Object Reference,,,,,OCC,,,,,
94,HTTP Injection/Response Splitting,,,,,OCC,,,,InC,
95,Impact,,,,,,,,,,AvC
96,Impact,,,,,,,,,,AvC
97,Impact,,,,,,,,,,AvC
98,Impact,,,,,,,,,,AvC
99,Impair Process Control,I2CF,SC,,FC1,,EC,RC,,,
100,Improper Password Storage,,,,,OCC,,,,,
101,Inadequate Bootloader Protection and Verification,,,,,OCC,,,,,
102,Incorrect Certificate Verification Allows Authentication Bypass,,,,,OCC,,,,InC,
103,Inhibit Response Function,OOI,SC,,FC1,,EC,RC,,,
104,Inhibit System Recovery,OOI,SC,,FC1,,EC,RC,,,
105,Initial Access,,,,,ODC,,,,InC,
106,Initial Access,,,,,ODC,,,,InC,
107,Initial Access,,,,,ODC,,,,InC,
108,Initial Access,,,,,ODC,,,,InC,
109,Input Injection,OOI,,IC,FC1,,,RC,,InC,
110,Insecure Cryptographic Implementation,,,,,OCC,,,,,
111,Insecure Deserialization,,,,,OCC,,,,,
112,Install Untrusted Application,,,,,OCC,,,,,
113,Internal Defacement,OOI,SC,IC,FC1,ODC,,,,InC,
114,Latent Hardware Debug Port Allows Memory/Code Manipulation,OOI,,IC,,OCC,,,,InC,
115,Latent Privileged Access Port,,,,,ODC,,,,,
116,Lateral Movement,,,,,ODC,,,,InC,
117,Lateral Movement,,,,,ODC,,,,InC,
118,Lateral Movement,,,,,ODC,,,,InC,
119,Lifecycle-Triggered Deletion,OOI,,IC,FC1,,,RC,,InC,AvC
120,Logs can be manipulated on the device,,,IC,,OCC,,,,InC,
121,Loss of Availability,OOI,SC,IC,FC1,ODC,EC,RC,,,
122,Loss of Control,I2CF,SC,,FC1,,EC,RC,,,
123,Loss of Productivity and Revenue,OOI,SC,,FC1,,EC,RC,,,
124,Loss of Protection,,SC,,FC1,,EC,RC,,,
125,Loss of Safety,OOI,SC,,FC1,,EC,RC,,,
126,Loss of View,,SC,,FC1,ODC,EC,RC,,,
127,Malicious OS Kernel Driver/Module Installable,,,,,OCC,,,,,
128,Manipulate Runtime Environment,,,,,OCC,,,,InC,
129,Manipulation of Control,I2CF,SC,,FC1,,EC,RC,,InC,
130,Manipulation of View,,SC,,FC1,ODC,EC,RC,,InC,
131,Memory Management Protections Subverted,,,,,OCC,,,,InC,
132,Microarchitectural Side Channels,,,IC,,OCC,,,CoC,,
133,Missing Message Replay Protection,,,,,OCC,,,,,
134,ML Attack Staging,,,,,ODC,,,,,
135,ML Intellectual Property Theft,,,,FC1,,,RC,CoC,,
136,ML Model Access,,,IC,,,,RC,,,
137,Network Denial of Service,OOI,SC,,FC1,,EC,RC,,,AvC
138,Network Denial of Service,OOI,SC,,FC1,,EC,RC,,,AvC
139,Network Routing Capability Abuse,,,,,OCC,,,,,
140,Network Stack Resource Exhaustion,,,,,ODC,,,,,AvC
141,Operating System Susceptible to Rootkit,,,,,OCC,,,,InC,
142,OS Exhaustion Flood,OOI,SC,,FC1,,,,,,AvC
143,OS/Kernel Privilege Escalation,,,,,OCC,,,,InC,
144,Out of Bounds Memory Access,,,,,OCC,,,,,
145,Password Retrieval Mechanism Abused,,,,,OCC,,,,,
146,Passwords Can Be Guessed Using Brute-Force Attempts,,,,,OCC,,,,,
147,Path Traversal,,,,,OCC,,,,,
148,Peripheral Data Bus Interception,,,IC,,,,,,,
149,Persistence,,,,,OCC,,,,InC,
150,Persistence,,,,,OCC,,,,InC,
151,Persistence,,,,,OCC,,,,InC,
152,Persistence,,,,,OCC,,,,InC,
153,Power Consumption Analysis Side Channel,,,IC,,OCC,,,CoC,,
154,Predictable Cryptographic Key,,,,,OCC,,,,,
155,Privilege Escalation,,,,,OCC,,,,InC,
156,Privilege Escalation,,,,,OCC,,,,InC,
157,Privilege Escalation,,,,,OCC,,,,InC,
158,Privilege Escalation,,,,,OCC,,,,InC,
159,Program Executes Dangerous System Calls,,,,,OCC,,,,,
160,RAM Chip Contents Readout,,,IC,,,,,,,
161,Reconnaissance,,,,,ODC,,,,,
162,Reconnaissance,,,,,ODC,,,,,
163,Reflection Amplification,OOI,SC,,FC1,,,,,,
164,Remotely Accessible Unauthenticated Services,,,,,OCC,,,,,
165,Remotely Initiated Updates Can Cause DoS,OOI,,,FC1,OCC,,RC,,,AvC
166,Remotely Triggerable Deadlock/DoS,OOI,,,FC1,OCC,,RC,,,AvC
167,Reputational Harm,,,,,,,RC,,,
168,Resource Development,,,,,ODC,,,,,
169,Resource Development,,,,,ODC,,,,,
170,Resource Hijacking,OOI,SC,,FC1,ODC,EC,RC,,,AvC
171,ROM/NVRAM Data Extraction or Modification,OOI,,IC,,,,,,,
172,Runtime Data Manipulation,OOI,SC,IC,FC1,,,,,InC,
173,Sandboxed Environments Escaped,,,,,ODC,,,,,
174,Secrets Extracted from Device Root of Trust,,,IC,,OCC,,,,,
175,Service Exhaustion Flood,OOI,SC,,FC1,,,,,,AvC
176,Service Stop,OOI,SC,,FC1,,EC,RC,,,AvC
177,SMS Control,OOI,,,FC2,ODC,,RC,,,
178,SMS Pumping,,,,FC2,,,RC,,,AvC
179,Societal Harm,,,,,,,RC,,,
180,Spamming ML System with Chaff Data,,,,,ODC,,,,,
181,SQL Injection,,,,,OCC,,,,InC,
182,Stored Data Manipulation,OOI,SC,IC,FC1,,EC,RC,,InC,
183,System Shutdown/Reboot,OOI,SC,,FC1,,EC,RC,,,AvC
184,System Susceptible to RAM Scraping,,,IC,,OCC,,,,,
185,Theft of Operational Information,,,IC,,ODC,,,CoC,,
186,Transmitted Data Manipulation,OOI,SC,IC,FC1,,,,,InC,
187,Transmitted Data Manipulation,OOI,SC,IC,FC1,,,,,InC,
188,Unauthenticated Session Changes Credential,,,,,OCC,,,CoC,,
189,Unauthorized Direct Memory Access (DMA),,,IC,,,,,,,
190,Unauthorized Messages or Connections,,,IC,,,,,,,
191,Undocumented Protocol Features,,,,,OCC,,,,,
192,Unencrypted Sensitive Data Communication,,,,,OCC,,,,InC,
193,Unencrypted SW/FW Updates,,,,,OCC,,,,InC,
194,Unpatchable Hardware Root of Trust,,,,,OCC,,,,,
195,Untrusted External Storage,,,,,OCC,,,,,
196,Untrusted Programs Can Access Privileged OS Functions,,,,,ODC,,,,,
197,Unverified Peripheral Firmware Loaded,,,,,OCC,,,,InC,
198,User Harm,,SC,,,,,RC,,,
199,Virtual Machine Escape,,,,,ODC,,,,,
200,Weak Peripheral Port Electrical Damage Protection,OOI,,,,OCC,,,,,
201,Weak/Insecure Cryptographic Protocol,,,,,OCC,,,,,
