"record_id","component_id","component_name","identifier","consequence","operational_metric","confidentiality_metric","integrity_metric","availability_metric","uses_i2cf","uses_i2mf","stored_impact","implementation_impact_recomputed","implementation_matches_stored","omitted_confidentiality_contribution","omitted_integrity_contribution","omitted_availability_contribution","total_omitted_cia_contribution","full_formula_impact","stored_unmitigated_risk","full_formula_unmitigated_risk","stored_residual_risk","full_formula_residual_risk","stored_tolerable","full_formula_tolerable","tolerability_changed"
"16318","12","Controllable Pitch Propeller","T0821","Execution","OOI","","InC","","0","0","1.6151","1.615096","1","0","1","0","1","2.615096","2.32126","3.7584944241","0.580316","0.939623606","1","1","0"
"16319","34","Collision Avoidance System","T0821","Execution","OOI","","InC","","0","0","2.02681","2.02681388","1","0","1","0","1","3.02681388","2.913","4.3502277128","2.913","4.3502277128","1","1","0"
"16321","16","Engine Control Mechanism","T0821","Execution","OOI","","InC","","0","0","1.86082","1.86082088","1","0","1","0","1","2.86082088","2.67443","4.1116575934","0.668607","1.0279143983","1","1","0"
"16322","16","Engine Control Mechanism","T0836","Impair Process Control","I2CF","","","","1","0","2.81234","2.812336","1","0","0","0","0","2.812336","6.24668","6.2466763531","1.56167","1.5616690883","1","1","0"
"16323","15","Steering Gear System","T0821","Execution","OOI","","InC","","0","0","1.68993","1.689926","1","0","1","0","1","2.689926","2.42881","3.866042345","0.607203","0.9665105862","1","1","0"
"16324","2","GNSS / GPS Receiver","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.392","0","0","0.392","0.4162424","0.0942312","1.6179508585","0.0942312","1.6179508585","1","1","0"
"16325","2","GNSS / GPS Receiver","T0887","Collection","","CoC","","","0","0","0.464242","0.4642424","1","0.392","0","0","0.392","0.8562424","1.80453","3.3282484585","1.80453","3.3282484585","1","1","0"
"16326","3","AIS Interface","T0887","Discovery","","CoC","","","0","0","0.0484849","0.04848488","1","0.007","0","0","0.007","0.05548488","0.188463","0.215671948","0.188463","0.215671948","1","1","0"
"16327","3","AIS Interface","T0887","Collection","","CoC","","","0","0","0.488485","0.48848488","1","0.007","0","0","0.007","0.49548488","1.89876","1.925969548","1.89876","1.925969548","1","1","0"
"16328","13","Rudder Angle Indicator","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.007","0","0","0.007","0.0312424","0.0942312","0.1214404585","0.0942312","0.1214404585","1","1","0"
"16329","13","Rudder Angle Indicator","T0887","Collection","","CoC","","","0","0","0.0322424","0.0322424","1","0.007","0","0","0.007","0.0392424","0.125327","0.1525367785","0.125327","0.1525367785","1","1","0"
"16330","17","LiDAR","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.007","0","0","0.007","0.0312424","0.0942312","0.1214404585","0.0942312","0.1214404585","1","1","0"
"16331","17","LiDAR","T0887","Collection","","CoC","","","0","0","0.0322424","0.0322424","1","0.007","0","0","0.007","0.0392424","0.125327","0.1525367785","0.125327","0.1525367785","1","1","0"
"16332","5","RADAR / ARPA System","T0887","Discovery","","CoC","","","0","0","0.0484849","0.04848488","1","0.154","0","0","0.154","0.20248488","0.188463","0.787066828","0.188463","0.787066828","1","1","0"
"16333","5","RADAR / ARPA System","T0887","Collection","","CoC","","","0","0","0.576485","0.57648488","1","0.154","0","0","0.154","0.73048488","2.24082","2.839423948","2.24082","2.839423948","1","1","0"
"16334","19","Infrared Camera System","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.154","0","0","0.154","0.1782424","0.0942312","0.6928353385","0.0942312","0.6928353385","1","1","0"
"16335","19","Infrared Camera System","T0887","Collection","","CoC","","","0","0","0.200242","0.2002424","1","0.154","0","0","0.154","0.3542424","0.77835","1.3769543785","0.77835","1.3769543785","1","1","0"
"16336","20","Weather Transmission System","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.007","0","0","0.007","0.0312424","0.0942312","0.1214404585","0.0942312","0.1214404585","1","1","0"
"16337","20","Weather Transmission System","T0887","Collection","","CoC","","","0","0","0.0322424","0.0322424","1","0.007","0","0","0.007","0.0392424","0.125327","0.1525367785","0.125327","0.1525367785","1","1","0"
"16338","21","Echo Sounder","T0887","Discovery","","CoC","","","0","0","0.024","0.024","1","0.007","0","0","0.007","0.031","0.093289","0.12049824","0.093289","0.12049824","1","1","0"
"16339","21","Echo Sounder","T0887","Collection","","CoC","","","0","0","0.2","0.2","1","0.007","0","0","0.007","0.207","0.777408","0.80461728","0.777408","0.80461728","1","1","0"
"16340","18","Sonar","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.007","0","0","0.007","0.0312424","0.0942312","0.1214404585","0.0942312","0.1214404585","1","1","0"
"16341","18","Sonar","T0887","Collection","","CoC","","","0","0","0.200242","0.2002424","1","0.007","0","0","0.007","0.2072424","0.77835","0.8055594985","0.77835","0.8055594985","1","1","0"
"16343","22","Gyroscope Compass","T0887","Discovery","","CoC","","","0","0","0.0484849","0.04848488","1","0.007","0","0","0.007","0.05548488","0.188463","0.215671948","0.188463","0.215671948","1","1","0"
"16344","22","Gyroscope Compass","T0887","Collection","","CoC","","","0","0","0.0564849","0.05648488","1","0.007","0","0","0.007","0.06348488","0.219559","0.246768268","0.219559","0.246768268","1","1","0"
"16347","23","Heading and Speed Sensor","T0887","Discovery","","CoC","","","0","0","0.0242424","0.0242424","1","0.007","0","0","0.007","0.0312424","0.0942312","0.1214404585","0.0942312","0.1214404585","1","1","0"
"16348","23","Heading and Speed Sensor","T0887","Collection","","CoC","","","0","0","0.0322424","0.0322424","1","0.007","0","0","0.007","0.0392424","0.125327","0.1525367785","0.125327","0.1525367785","1","1","0"
"16430","4","ENC Data Service","T0807","Execution","OOI","","InC","","0","0","0.976714","0.97671383","1","0","1","0","1","1.97671383","2.45658","4.9717317895","2.45658","4.9717317895","1","1","0"
"16431","6","Navigation Data Integration Tool","T0807","Execution","OOI","","InC","","0","0","1.38345","1.3834464","1","0","1","0","1","2.3834464","3.47958","5.994725213","3.47958","5.994725213","1","1","0"
"16432","7","Satellite Communication System","T0807","Execution","OOI","","InC","","0","0","1.10308","1.1030758","1","0","0.56","0","0.56","1.6630758","2.7744","4.1828850984","2.7744","4.1828850984","1","1","0"
"16433","8","RF / VHF / UHF Communication Module","T0807","Execution","OOI","","InC","","0","0","0.624242","0.6242424","1","0","0.56","0","0.56","1.1842424","1.57006","2.9785472724","1.57006","2.9785472724","1","1","0"
"16434","10","Remote Control Center Communication Interface","T0807","Execution","OOI","","InC","","0","0","1.22863","1.2286314","1","0","1","0","1","2.2286314","3.09019","5.6053422657","3.09019","5.6053422657","1","1","0"
"16435","9","Vessel Traffic Services Interface","T0807","Execution","OOI","","InC","","0","0","0.684","0.684","1","0","0.56","0","0.56","1.244","1.72036","3.1288466","1.72036","3.1288466","1","1","0"
"16436","14","Electric / Hybrid Propulsion System","T0807","Execution","OOI","","InC","","0","0","1.6151","1.615096","1","0","1","0","1","2.615096","4.06221","6.5773587044","4.06221","6.5773587044","1","0","1"
"16437","11","GMDSS","T0807","Execution","OOI","","InC","","0","0","1.10308","1.1030758","1","0","0.56","0","0.56","1.6630758","2.7744","4.1828850984","2.7744","4.1828850984","1","1","0"
"16438","16","Engine Control Mechanism","T0807","Execution","OOI","","InC","","0","0","1.86082","1.86082088","1","0","1","0","1","2.86082088","4.68024","7.1953936363","4.68024","7.1953936363","1","0","1"
"16439","25","Feedback Control Module","T0807","Execution","OOI","","InC","","0","0","0.857013","0.8570127","1","0","0.56","0","0.56","1.4170127","2.15552","3.5639994924","2.15552","3.5639994924","1","1","0"
"16440","26","Vessel Traffic Services Decision Integration","T0807","Execution","OOI","","InC","","0","0","0.734671","0.7346714","1","0","0.56","0","0.56","1.2946714","1.84781","3.2562927717","1.84781","3.2562927717","1","1","0"
"16441","28","Human Override Control Interface","T0807","Execution","OOI","","InC","","0","0","1.20962","1.2096184","1","0","0.56","0","0.56","1.7696184","3.04237","4.4508557188","3.04237","4.4508557188","1","1","0"
"16442","29","Internal Data Pipeline / Integration Module","T0807","Execution","OOI","","InC","","0","0","1.21333","1.21332788","1","0","1","0","1","2.21332788","3.0517","5.5668516174","3.0517","5.5668516174","1","1","0"
"16443","35","Navigation Support and Situational Awareness Module","T0807","Execution","OOI","","InC","","0","0","1.38764","1.3876414","1","0","1","0","1","2.3876414","3.49013","6.0052762672","3.49013","6.0052762672","1","1","0"
"16444","12","Controllable Pitch Propeller","T0861","Collection","","CoC","","","0","0","0.008","0.008","1","0.007","0","0","0.007","0.015","0.0310963","0.0583056","0.00777408","0.0145764","1","1","0"
"16445","10","Remote Control Center Communication Interface","T0861","Collection","","CoC","","","0","0","0.376242","0.3762424","1","0.392","0","0","0.392","0.7682424","1.46247","2.9861889385","0.365617","0.7465472346","1","1","0"
"16446","34","Collision Avoidance System","T0861","Collection","","CoC","","","0","0","0.664485","0.66448488","1","0.154","0","0","0.154","0.81848488","2.58288","3.181483468","2.58288","3.181483468","1","1","0"
"16447","14","Electric / Hybrid Propulsion System","T0861","Collection","","CoC","","","0","0","0.176","0.176","1","0.154","0","0","0.154","0.33","0.684119","1.2827232","0.17103","0.3206808","1","1","0"
"16448","28","Human Override Control Interface","T0861","Collection","","CoC","","","0","0","0.200242","0.2002424","1","0.154","0","0","0.154","0.3542424","0.77835","1.3769543785","0.194588","0.3442385946","1","1","0"
"16449","25","Feedback Control Module","T0861","Collection","","CoC","","","0","0","0.200242","0.2002424","1","0.154","0","0","0.154","0.3542424","0.77835","1.3769543785","0.77835","1.3769543785","1","1","0"
"16450","16","Engine Control Mechanism","T0861","Collection","","CoC","","","0","0","0.224485","0.22448488","1","0.154","0","0","0.154","0.37848488","0.872582","1.471185868","0.218145","0.367796467","1","1","0"
