"record_id","project_id","batch_number","layer","component_id","component_name","threat_or_vuln_id","source_type","consequence","likelihood","impact","detectability","unmitigated_risk","residual_risk","tolerable_flag","tolerability"
"16368","2","12","Layer 1","3","AIS Interface","T0814","ATT&CK","Inhibit Response Function","2.51515","1.87932","1","4.72677","4.72677","1","Tolerable"
"16633","2","12","Layer 1","3","AIS Interface","T0809","ATT&CK","Inhibit Response Function","2.51515","1.87932","1","4.72677","4.72677","1","Tolerable"
"17494","2","12","Layer 1","3","AIS Interface","TID-222","EMB3D","Critical System Service May Be Disabled","3.88704","1.15332","1","4.48299","4.48299","1","Tolerable"
"17597","2","12","Layer 1","3","AIS Interface","TID-404","EMB3D","Remotely Triggerable Deadlock/DoS","3.88704","1.15332","1","4.48299","4.48299","1","Tolerable"
"16345","2","12","Layer 1","3","AIS Interface","T0800","ATT&CK","Inhibit Response Function","3.88704","1.87932","0.5","7.30498","3.65249","1","Tolerable"
"16453","2","12","Layer 1","3","AIS Interface","T0816","ATT&CK","Inhibit Response Function","3.88704","1.87932","0.5","7.30498","3.65249","1","Tolerable"
"17294","2","12","Layer 1","3","AIS Interface","TID-101","EMB3D","Power Consumption Analysis Side Channel","3.88704","0.864","1","3.3584","3.3584","1","Tolerable"
"17325","2","12","Layer 1","3","AIS Interface","TID-102","EMB3D","Electromagnetic Analysis Side Channel","3.88704","0.864","1","3.3584","3.3584","1","Tolerable"
"16288","2","12","Layer 1","3","AIS Interface","T0803","ATT&CK","Inhibit Response Function","1.43723","1.87932","1","2.70101","2.70101","1","Tolerable"
"16598","2","12","Layer 1","3","AIS Interface","T0804","ATT&CK","Inhibit Response Function","1.43723","1.87932","1","2.70101","2.70101","1","Tolerable"
"16327","2","12","Layer 1","3","AIS Interface","T0887","ATT&CK","Collection","3.88704","0.488485","1","1.89876","1.89876","1","Tolerable"
"17477","2","12","Layer 1","3","AIS Interface","TID-118","EMB3D","Weak Peripheral Port Electrical Damage Protection","3.88704","0.478318","1","1.85924","1.85924","1","Tolerable"
"17462","2","12","Layer 1","3","AIS Interface","TID-114","EMB3D","Peripheral Data Bus Interception","3.88704","0.44","1","1.7103","1.7103","1","Tolerable"
"17011","2","12","Layer 1","3","AIS Interface","T0891","ATT&CK","Persistence","3.88704","0.424","1","1.6481","1.6481","1","Tolerable"
