"metric","value"
"Batch 12 risk records","1513"
"Implementation impact mismatches above 1e-5","0"
"Maximum impact reproduction difference","0.0000048"
"Average impact reproduction difference","0.0000006498"
"Risk records using I2CF","51"
"Risk records using I2MF","0"
"Records with omitted CIA contribution","866"
"Stored Batch 12 non-tolerable records","29"
"CIA-restored sensitivity non-tolerable records","62"
"Changed classifications in CIA-restored sensitivity analysis","33"
"Affected audit records","917"
